place,province
หัวหิน,Prachuap Khiri Khan
ชะอำ,Phetchaburi
ปาย,Mae Hong Son
อัมพวา,Samut Songkhram
พัทยา,Chon Buri
เกาะเสม็ด,Rayong
เกาะสมุย,Surat Thani
เกาะช้าง,Trat
เกาะเต่า,Chumphon
โคราช,Nakhon Ratchasima
ดอยอินทนนท์,Chiang Mai
น้ำตกเอราวัณ,Kanchanaburi
น้ำตกเจ็ดสาวน้อย,Saraburi
น้ำตกทีลอซู,Tak
เขาสก,Surat Thani
หมู่เกาะสิมิลัน,Phangnga
หมู่เกาะพีพี,Krabi
เขื่อนภูมิพล,Tak
เขื่อนศรีนครินทร์,Kanchanaburi
เขื่อนอุบลรัตน,Khon Kaen
เขื่อนป่าสักชลสิทธิ์,Lop Buri
เขื่อนแก่งกระจาน,Phetchaburi
เขื่อนรัชชประภา,Surat Thani
เขื่อนเชี่ยวหลาน,Surat Thani
วัดพระพุทธบาท,Saraburi
วัดพระปฐมเจดีย์,Nakhon Pathom
วัดญาณสังวราราม,Chon Buri
วัดพระสิงห์,Chiang Mai
วัดพระมหาธาตุวรมหาวิหาร,Nakhon Si Thammarat
วัดพระศรีรัตนมหาธาตุ,Phitsanulok
วัดพระธาตุหริภุญไชย,Lamphun
วัดพระศรีรัตนมหาธาตุ,Sukhothai
วัดพระบรมธาตุไชยา,Surat Thani
